id,friendly_url,name,alternate_name,post,latitude,longitude,bounds_northeast_latitude,bounds_northeast_longitude,bounds_southwest_latitude,bounds_southwest_longitude,viewport_northeast_latitude,viewport_northeast_longitude,viewport_southwest_latitude,viewport_southwest_longitude,type,parent_id,place_id,formatted_address,old_id
37497,moseley,Moseley,Moseley,5641,-33.071894,136.500972,-32.949873,136.598846,-33.125119,136.42598,-32.949873,136.598846,-33.125119,136.42598,suburb,106,ChIJHcVzgvpKpGoR8BqPYlQ2AwQ,"Moseley SA 5641, Australia",13823
37498,panitya,Panitya,Panitya,5641,-33.212499,136.078002,-33.145964,136.25337,-33.24329,136.000962,-33.145964,136.25337,-33.24329,136.000962,suburb,106,ChIJVwBZOK8MpmoRkBuPYlQ2AwQ,"Panitya SA 5641, Australia",13824
37499,pinkawillinie,Pinkawillinie,Pinkawillinie,5641,-33.03668,136.056296,-32.765107,136.25348,-33.20188,135.653027,-32.765107,136.25348,-33.20188,135.653027,suburb,106,ChIJr9z4gZxCpmoRsPCOYlQ2AwQ,"Pinkawillinie SA 5641, Australia",13825
37500,solomon,Solomon,Solomon,5641,-33.242848,136.336119,-33.124501,136.426552,-33.330172,136.252688,-33.124501,136.426552,-33.330172,136.252688,suburb,106,ChIJl50kakXDpWoRUByPYlQ2AwQ,"Solomon SA 5641, Australia",13826
37501,wilcherry,Wilcherry,Wilcherry,5641,-32.904169,136.4361,-32.854595,136.506644,-32.950268,136.426337,-32.854595,136.506644,-32.950268,136.426337,suburb,106,ChIJz8so6eQ2pGoRQB2PYlQ2AwQ,"Wilcherry SA 5641, Australia",13827
37502,yalanda,Yalanda,Yalanda,5641,-33.272972,136.697662,-33.218804,136.810945,-33.328312,136.59789,-33.218804,136.810945,-33.328312,136.59789,suburb,106,ChIJ_Vrg336lpWoRYB2PYlQ2AwQ,"Yalanda SA 5641, Australia",13828
37503,darke-peak,Darke Peak,Darke Peak,5642,-33.466556,136.19911,-33.330171,136.325192,-33.513845,136.029745,-33.330171,136.325192,-33.513845,136.029745,suburb,106,ChIJgdgPhxkHpmoRoO-OYlQ2AwQ,"Darke Peak SA 5642, Australia",13829
37504,hambidge,Hambidge,Hambidge,5642,-33.408696,135.995651,-33.330796,136.045601,-33.488418,135.77634,-33.330796,136.045601,-33.488418,135.77634,suburb,106,ChIJX-u3vdUfpmoRcBmPYlQ2AwQ,"Hambidge SA 5642, Australia",13830
37505,kielpa,Kielpa,Kielpa,5642,-33.589224,136.225375,-33.511945,136.326382,-33.638228,136.045085,-33.511945,136.326382,-33.638228,136.045085,suburb,106,ChIJUfaE8lquqGoRIPCOYlQ2AwQ,"Kielpa SA 5642, Australia",13831
37506,murlong,Murlong,Murlong,5642,-33.672289,136.011923,-33.637503,136.04521,-33.788702,135.907234,-33.637503,136.04521,-33.788702,135.907234,suburb,106,ChIJOYq_35K4qGoRIBuPYlQ2AwQ,"Murlong SA 5642, Australia",13832
37507,rudall,Rudall,Rudall,5642,-33.687373,136.270962,-33.63687,136.408614,-33.804579,136.044955,-33.63687,136.408614,-33.804579,136.044955,suburb,106,ChIJZQNT5QJNr2oRgPGOYlQ2AwQ,"Rudall SA 5642, Australia",13833
37508,cootra,Cootra,Cootra,5650,-33.269831,135.938468,-33.191927,136.001675,-33.331319,135.884556,-33.191927,136.001675,-33.331319,135.884556,suburb,106,ChIJC1C940EXpmoRcO-OYlQ2AwQ,"Cootra SA 5650, Australia",13834
37509,koongawa,Koongawa,Koongawa,5650,-33.160368,135.875012,-33.055721,136.002103,-33.331448,135.723912,-33.055721,136.002103,-33.331448,135.723912,suburb,106,ChIJ9bLS8pM9pmoRQPCOYlQ2AwQ,"Koongawa SA 5650, Australia",13835
37510,warramboo,Warramboo,Warramboo,5650,-33.241782,135.598207,-33.154345,135.849334,-33.333527,135.35272,-33.154345,135.849334,-33.333527,135.35272,suburb,106,ChIJXUen4acppmoRINiOYlQ2AwQ,"Warramboo SA 5650, Australia",13836
37511,kyancutta,Kyancutta,Kyancutta,5651,-33.137314,135.556421,-33.037947,135.791105,-33.231257,135.480318,-33.037947,135.791105,-33.231257,135.480318,suburb,106,ChIJG57tBHQypmoRcPCOYlQ2AwQ,"Kyancutta SA 5651, Australia",13837
37512,paney,Paney,Paney,5652,-32.79056,135.400573,-32.76709,135.48043,-32.815093,135.359593,-32.76709,135.48043,-32.815093,135.359593,suburb,106,ChIJ8dcWx0-6p2oRgBuPYlQ2AwQ,"Paney SA 5652, Australia",13838
37513,wudinna,Wudinna,Wudinna,5652,-33.04652,135.459993,-32.91118,135.653179,-33.19552,135.269232,-32.91118,135.653179,-33.19552,135.269232,suburb,106,ChIJhV4HvtDIp2oRENSOYlQ2AwQ,"Wudinna SA 5652, Australia",13839
37514,yaninee,Yaninee,Yaninee,5653,-32.949275,135.274159,-32.7634,135.392957,-33.058089,135.130758,-32.7634,135.392957,-33.058089,135.130758,suburb,106,ChIJ0-fyl2nvp2oRgPKOYlQ2AwQ,"Yaninee SA 5653, Australia",13840
37515,cocata,Cocata,Cocata,5654,-33.213635,135.256215,-33.147849,135.377737,-33.334259,135.13475,-33.147849,135.377737,-33.334259,135.13475,suburb,106,ChIJm0HSlz8NqGoRsBiPYlQ2AwQ,"Cocata SA 5654, Australia",13841
